слово,частота
слѣдуетъ,2
изведешь,1
получилъ,1
отличить,1
книга,1
сталъ,4
побывалъ,1
запонками,1
полезныя,2
хорошо,4
третья,1
быть,4
самъ,3
богатъ,1
человѣкъ,5
новое,1
опустилъ,5
попозже,1
приду,1
помнятъ,1
кучеръ,1
ошибаетесь,1
погода,1
ребятишки,2
инструментами,1
опытъ,2
рукахъ,1
идемъ,1
мятой,1
досады,1
собою,1
рѣзь,1
воскликнулъ,1
самые,1
преблагополучно,1
безпереводный,4
головою,1
свою,2
будь,1
снова,2
придетъ,2
бѣлыхъ,1
какое,1
желала,1
поѣдемъ,1
ощупалъ,1
богатыхъ,1
привозятъ,1
лапша,1
видалъ,1
тѣхъ,2
памятный,1
спѣшитъ,1
крайнему,1
глава,8
отъ,8
такою,1
утѣшеніе,1
подбѣжавъ,1
седьмая,1
много,5
бабушки,4
капризное,1
рубля,1
скорѣе,2
вонъ,1
себя,6
пусть,1
общей,1
насъ,4
плакалъ,1
капиталы,1
штука,1
да,6
пожать,1
зажалъ,1
снявъ,1
рождественскую,2
урокъ,1
племенному,1
болѣе,3
незнакомое,1
хотите,1
длиннаго,1
ихъ,2
бѣдную,1
меня,9
сдѣлалъ,1
отцовъ,1
самое,3
привлекательнаго,1
возрасту,1
снѣ,4
передъ,2
головному,1
большомъ,2
веселому,1
слиться,1
могу,2
чудесной,1
покойны,1
вы,16
вамъ,6
разодѣты,1
невѣсту,1
простой,1
первая,1
видѣлъ,1
мою,1
добръ,1
мои,2
башмачникъ,1
дѣвушку,1
имѣлъ,2
плетнемъ,1
отжевалъ,1
минутъ,1
тамъ,1
напротивъ,2
ну,3
снимайте,1
прекрасныхъ,1
благодѣянія,1
слѣдовало,1
минутку,1
сколько,3
бѣлые,1
счетъ,1
знать,1
нимъ,5
каждую,2
лишеніи,1
жилетъ,6
дѣвушкамъ,1
далекомъ,1
ужъ,3
свой,1
положить,1
напрасно,1
думаешь,1
подали,1
будешь,1
исходило,1
горько,1
истратили,1
вокругъ,2
все-таки,4
послала,1
ночь,2
тѣ,1
стекляшками,2
нельзя,1
про,2
посмотрѣлъ,2
платью,1
чепцѣ,2
шли,2
розовое,1
оттуда,3
за,17
день,2
осмотрѣлся,1
отвалила,1
проснулся,1
накупилъ,2
развивается,1
чѣмъ,1
сто,2
укладывая,1
очутится,1
несмотря,1
эту,1
удивлять,1
дочери,1
новою,1
произведеніе,1
послушайте,1
имъ,2
подумала,1
цѣлымъ,1
онѣ,1
сказкахъ,1
орѣховъ,2
прекрасныя,1
смыслъ,1
будто,2
четырехъ,2
скотницы,1
теленокъ,1
силу,2
улыбнулась,1
взоровъ,1
лавкѣ,1
излишняго,1
миколаша,1
каковъ,1
рискованныя,1
пузатымъ,1
это,25
голубое,1
надобности,1
рѣзвиться,1
конечно,2
забылъ,1
переведется,1
могутъ,1
гармоніи,1
спутнику,1
перваго,1
